"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"peachy-sweep-425","mk4thk4g","finished","-","priceluke","","2022-04-20T03:02:24.000Z","9853","ne3vuqk1","128","0.018280774428546757","0.1","13","0.00005","100","33","0.85","","0.7303033370449101","0.9502773284912108","1","0.7558969855308533","12","0.727497261497808","0.73030333704491","0.16870379447937012","0.7303033471107483","1.1921863555908203"
"soft-sweep-693","fb6r512s","finished","-","priceluke","","2022-04-20T09:18:53.000Z","9851","ne3vuqk1","64","0.01847234516814962","0.2","14","0.00005","90","33","0.95","","0.7084201310267789","0.958118200302124","2","0.8242824673652649","13","0.7064403384749313","0.7084201310267789","0.15697959065437317","0.7084201574325562","1.2757022380828855"
"fluent-sweep-96","4d0s21l3","finished","-","priceluke","","2022-04-19T20:22:53.000Z","9790","ne3vuqk1","16","0.010513247583597809","0.2","13","0.00005","10","33","0.8","","0.7208398481125754","0.8568620681762695","1","0.8513886332511902","12","0.7183286101808595","0.7208398481125754","0.4504615366458893","0.7208398580551147","1.0180206298828125"
"northern-sweep-710","2csskgqg","finished","-","priceluke","","2022-04-20T09:45:08.000Z","9788","ne3vuqk1","128","0.02313084056319308","0.5","13","0.0001","100","33","0.9","","0.7234862970044614","0.9500860571861268","2","0.792770504951477","12","0.7232436050009391","0.7234862970044614","0.17845310270786283","0.7234863042831421","1.5632452964782717"
"silver-sweep-125","w1wtmtlo","finished","-","priceluke","","2022-04-19T20:22:58.000Z","9756","ne3vuqk1","64","0.01912457713659691","0.2","8","0.0001","50","33","0.9","","0.7340662842574889","0.9563969969749452","1","0.7526254653930664","7","0.7337185764798022","0.7340662842574889","0.16371366381645203","0.7340663075447083","1.161655306816101"
"polished-sweep-12","sgrf13uy","finished","-","priceluke","","2022-04-19T20:22:40.000Z","9742","ne3vuqk1","8","0.0053158515870032445","0.4","17","0.0001","70","33","0.85","","0.7033681765389083","0.8811718225479126","1","1.12150776386261","16","0.7005999382972252","0.7033681765389083","0.4250235855579376","0.7033681869506836","1.532088041305542"
"distinctive-sweep-86","darm0rg6","finished","-","priceluke","","2022-04-19T20:22:51.000Z","9717","ne3vuqk1","128","0.013444458470310682","0.1","16","0.00003","20","33","0.95","","0.7096040850587577","0.8896276354789734","6","0.812076210975647","15","0.7063280187808991","0.7096040850587577","0.35380062460899353","0.7096040844917297","0.9624078273773192"
"young-sweep-463","fb6r512s","finished","-","priceluke","","2022-04-20T03:46:35.000Z","9701","ne3vuqk1","64","0.015258179732687168","0.4","15","0.0001","80","33","0.9","","0.7124450843578101","0.8956463932991028","1","0.8577144145965576","14","0.7106044791893454","0.7124450843578101","0.28841182589530945","0.712445080280304","1.3959307670593262"
"copper-sweep-237","xyod4u2o","finished","-","priceluke","","2022-04-19T22:45:25.000Z","9698","ne3vuqk1","16","0.015162640198761877","0.1","9","0.00005","30","33","0.65","","0.7372591115882022","0.8235070705413818","1","0.7400116324424744","8","0.735177809172231","0.7372591115882023","0.5045143961906433","0.7372590899467468","0.8043036460876465"
"lilac-sweep-851","qmjdhcr0","finished","-","priceluke","","2022-04-20T16:36:11.000Z","9697","ne3vuqk1","16","0.008798913800526272","0.2","6","0.0003","50","33","0.6","","0.7321748724313888","0.8766032457351685","1","0.8264687657356262","5","0.7306380267041523","0.7321748724313888","0.4071296155452728","0.7321748733520508","0.986822545528412"
